,,Open,High,Low,Close,,,https://www.exness.com/intl/th/history_quotes/,,,,,GMT
2016.08.29,0:00,1.11967,1.1207,1.11575,1.119,0,,,,,,,
2016.08.30,0:00,1.11896,1.11903,1.11316,1.11494,0,,,,,,,
2016.08.31,0:00,1.11493,1.11652,1.11231,1.11554,0,,,,,,,
2016.09.01,0:00,1.11559,1.12044,1.11275,1.11979,0,,,,,,,
2016.09.02,0:00,1.11975,1.12514,1.11498,1.1152,0,,,,,,,
2016.09.04,0:00,1.11561,1.11586,1.11513,1.11576,0,,,,,,,
2016.09.05,0:00,1.11575,1.11816,1.11386,1.11498,0,,,,,,,
2016.09.06,0:00,1.11497,1.12624,1.11398,1.12451,0,,,,,,,
2016.09.07,0:00,1.12452,1.12707,1.12284,1.12377,0,,,,,,,
2016.09.08,0:00,1.12379,1.13264,1.12339,1.12678,0,,,,,,,
2016.09.09,0:00,1.12657,1.12843,1.1198,1.12307,0,,,,,,,
2016.09.11,0:00,1.12322,1.12399,1.12288,1.12398,0,,,,,,,
2016.09.12,0:00,1.12384,1.1267,1.121,1.12399,0,,,,,,,
2016.09.13,0:00,1.12385,1.12597,1.12035,1.12186,0,,,,,,,
2016.09.14,0:00,1.12172,1.12734,1.12132,1.12446,0,,,,,,,
2016.09.15,0:00,1.12449,1.12836,1.12187,1.12461,0,,,,,,,
2016.09.16,0:00,1.12455,1.12475,1.11491,1.11509,0,,,,,,,
2016.09.18,0:00,1.11532,1.11601,1.11518,1.11572,0,,,,,,,
2016.09.19,0:00,1.11566,1.11973,1.115,1.11764,0,,,,,,,
2016.09.20,0:00,1.11765,1.12125,1.11491,1.11526,0,,,,,,,
2016.09.21,0:00,1.11524,1.11959,1.11225,1.11889,0,,,,,,,
2016.09.22,0:00,1.11903,1.12566,1.11846,1.12077,0,,,,,,,
2016.09.23,0:00,1.12072,1.12399,1.11934,1.12233,0,,,,,,,
2016.09.25,0:00,1.1229,1.12405,1.1223,1.12369,0,,,,,,,
2016.09.26,0:00,1.12374,1.12784,1.12196,1.12494,0,,,,,,,
2016.09.27,0:00,1.12495,1.12581,1.11905,1.12165,0,,,,,,,
